Number,roi,sub-01,sub-02,sub-03,sub-05
1,Visual Network,0.13951597,0.15372048,0.15574197,0.14541595
2,Visual Network,0.31329343,0.17502986,0.3120172,0.23866723
3,Visual Network,0.34218118,0.19269764,0.3362037,0.25168288
4,Visual Network,0.4412523,0.2777344,0.40439945,0.26649204
5,Visual Network,0.33059976,0.26185283,0.47071335,0.29742727
6,Visual Network,0.42960715,0.31765026,0.37884784,0.23881051
7,Visual Network,0.3711332,0.2189425,0.37989318,0.19553557
8,Visual Network,0.41139445,0.40092328,0.47197053,0.42899153
9,Visual Network,0.41728824,0.26871228,0.2528458,0.26963937
10,Visual Network,0.43249273,0.39957023,0.42017183,0.39947963
11,Visual Network,0.4424946,0.34275553,0.38989222,0.39030725
12,Visual Network,0.35104308,0.30211392,0.30650648,0.25973696
13,Visual Network,0.35749456,0.35540834,0.3724251,0.38333327
14,Visual Network,0.28882334,0.39747316,0.39277893,0.3339597
15,Visual Network,0.23960795,0.20566908,0.23179719,0.20100035
16,Visual Network,0.31724852,0.3130795,0.31029436,0.2364129
17,Visual Network,0.41086856,0.39827016,0.43380424,0.34577343
18,Visual Network,0.11172083,0.21132308,0.22389962,0.10603513
19,Visual Network,0.17645451,0.2561382,0.27358824,0.12862347
20,Visual Network,0.2075058,0.15498099,0.2923425,0.131171
21,Visual Network,0.29420093,0.45969102,0.4251937,0.38246265
22,Visual Network,0.2243964,0.10511232,0.20421329,0.23067251
23,Visual Network,0.3540728,0.33337867,0.39657044,0.27125096
24,Visual Network,0.36401296,0.33495483,0.37615672,0.23024386
25,Visual Network,0.22510026,0.23487891,0.3088318,0.14610468
26,Visual Network,0.2575131,0.31196076,0.30656388,0.17919019
27,Visual Network,0.382977,0.35521996,0.28490776,0.29236677
28,Visual Network,0.30148166,0.30145136,0.31509525,0.13320935
29,Visual Network,0.4225089,0.36659217,0.488676,0.30645728
30,Visual Network,0.33945006,0.31487212,0.3032689,0.2660821
31,Visual Network,0.24447718,0.09514994,0.2424872,0.16196863
32,Visual Network,0.15707268,0.16813207,0.31374684,0.17049356
33,Visual Network,0.37593988,0.29096913,0.29251844,0.26703843
34,Visual Network,0.478057,0.32724562,0.36518866,0.33000848
35,Visual Network,0.3201838,0.3068085,0.35563064,0.28668752
36,Visual Network,0.41948435,0.49102023,0.5397612,0.39615536
37,Visual Network,0.24854206,0.16752455,0.28543618,0.16756603
38,Visual Network,0.2951372,0.21395005,0.31195846,0.15789184
39,Visual Network,0.44052216,0.37132925,0.3661934,0.35795534
40,Visual Network,0.33060786,0.2921204,0.23190646,0.26421985
41,Visual Network,0.21302,0.14522298,0.26394048,0.15239108
42,Visual Network,0.51987463,0.5136253,0.50619614,0.36283436
43,Visual Network,0.31860742,0.37305772,0.41895822,0.31846347
44,Visual Network,0.36176604,0.33014777,0.2542638,0.21968317
45,Visual Network,0.49592155,0.3409513,0.45151886,0.23283212
46,Visual Network,0.2502017,0.17711172,0.27157632,0.075918734
47,Visual Network,0.30331492,0.272972,0.26543754,0.19682437
48,Visual Network,0.18546188,0.18648024,0.29137456,0.13094282
49,Visual Network,0.45863205,0.3869896,0.3518726,0.33566454
50,Visual Network,0.23326774,0.12603083,0.26838213,0.0772072
51,Visual Network,0.3122933,0.29346997,0.27956173,0.24435364
52,Visual Network,0.31983632,0.43124792,0.3210106,0.32499424
53,Visual Network,0.448933,0.4495692,0.4506231,0.3632426
54,Visual Network,0.4623134,0.48147362,0.34946832,0.34840357
55,Visual Network,0.17300856,0.18829577,0.32860646,0.21192048
56,Visual Network,0.26980817,0.24122979,0.3163682,0.22011912
57,Visual Network,0.24383804,0.2000265,0.24529564,0.2042114
58,Visual Network,0.4638113,0.4517604,0.40261745,0.3475395
59,Visual Network,0.36749527,0.35535905,0.41082877,0.29778117
60,Visual Network,0.34524274,0.28151062,0.23497032,0.20033757
61,Visual Network,0.48674506,0.42850813,0.44054353,0.32051334
62,Visual Network,0.38449723,0.43202466,0.30030385,0.21241222
63,Visual Network,0.26176724,0.20531605,0.3592392,0.30531326
64,Visual Network,0.41839865,0.50451994,0.3900218,0.44423482
65,Visual Network,0.43582654,0.48360583,0.39702818,0.38394123
